Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202400007674;4;7;2024;12:30;1;971;97101;1;1;1;2;CARAQUE;16,24102000; -61,49571000
202400024038;25;1;2024;12:20;1;35;35206;1;1;1;6;PORTE DE BREQUIGNY;48,07952000; -1,68503000
202400042152;10;12;2024;07:45;3;31;31004;2;1;1;6;Route de Ticaille;43,44174700;1,59966100
202400032169;30;8;2024;08:45;1;75;75115;2;2;8;3;RUE PEGOUD;48,83538600;2,26676000
202400019883;6;9;2024;10:15;1;04;04070;2;9;1;5;BRET (BD MARTIN);44,09317000;6,23553000
202400040303;26;9;2024;15:15;1;81;81299;1;1;1;6;Route de Viterbe;43,66217184;1,93214321
202400000336;18;9;2024;13:50;1;94;94034;2;1;1;4;Avenue de la Division Leclerc;48,75902000;2,32476000
202400020353;6;9;2024;13:25;1;10;10325;1;1;1;6;ROCADE OUEST (RD 610);48,26286508;4,08156037
202400018675;27;5;2024;19:55;2;64;64335;1;9;1;1;D945;43,35464000; -0,44054000
202400045708;20;8;2024;20:45;2;06;06155;2;1;1;6;48 Boulevard du Docteur Jacques Ugo;43,57656930;7,05631630
202400043320;25;2;2024;08:45;1;38;38198;1;2;1;3;D519f;45,33850400;4,95378300
202400034138;28;8;2024;23:45;5;92;92007;2;1;1;6;PASTEUR (AVENUE LOUIS) N° 1 A 39 ET 2 A;48,79794567;2,31746390
202400013041;16;10;2024;15:30;1;92;92026;2;1;1;2;VERDUN (DE 62 A FIN);48,90113294;2,26003647
202400029407;2;3;2024;23:20;5;92;92024;2;2;8;3;DOCTEUR DERVAUX  ( QUAI DU );48,90852293;2,30012298
202400013890;20;4;2024;12:00;1;974;97416;1;1;1;1;RN3 (ANCIENNE ROUTE); -21,30358162;55,49908841
202400031783;17;5;2024;21:45;5;78;78297;2;1;1;6;HAUSSMAN (RUE GEORGES);48,76610600;2,07873900
202400012832;31;5;2024;10:30;1;13;13001;2;1;1;2;JUVENAL MAX (AV);43,52564307;5,43864151
