Num_Acc;id_usager;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202400007782;203 970 288;155 768 132;Z01;1;1;1;2;1993.0;0;1;0;-1;-1; -1;-1
202400007786;203 970 277;155 768 120;A01;1;1;3;2;1999.0;5;2;6;-1;-1; -1;-1
202400007786;203 970 278;155 768 122;B01;1;1;1;1;1999.0;5;8;0;-1;-1; -1;-1
202400007802;203 970 238;155 768 090;B01;1;1;4;1;1976.0;5;8;-1;-1;0;0;-1
202400007802;203 970 241;155 768 093;A01;1;1;4;1;1972.0;5;8;-1;-1;0;0;-1
202400007802;203 970 243;155 768 093;A01;2;2;4;1;1957.0;5;8;-1;-1;0;0;-1
202400007837;203 970 144;155 768 019;A01;1;1;2;1;1984.0;5;1;-1;-1;0;0;-1
202400007842;203 970 134;155 768 009;B01;1;1;1;2;1941.0;0;0;-1;-1;0;0;-1
202400007842;203 970 137;155 768 011;A01;1;1;4;1;2009.0;0;2;6;-1;0;0;-1
202400007882;203 970 038;155 767 931;B01;1;1;4;1;1996.0;5;2;6;-1;-1; -1;-1
202400007882;203 970 041;155 767 932;A01;1;1;1;2;1973.0;4;1;0;-1;-1; -1;-1
202400007892;203 970 012;155 767 912;A01;1;1;1;2;1987.0;0;8;0;-1;0;0;-1
202400007892;203 970 014;155 767 912;A01;10;3;4;1;1972.0;0;8;8;-1;1;3;1
202400007916;203 969 965;155 767 875;A01;10;3;4;2;1967.0;5;0;-1;-1;4;3;1
202400007916;203 969 966;155 767 875;A01;1;1;1;1;2000.0;5;1;0;-1;-1; -1;-1
202400007921;203 969 952;155 767 865;A01;1;1;4;1;1977.0;0;8;0;-1;-1; -1;-1
202400007921;203 969 955;155 767 868;B01;1;1;1;1;1983.0;1;1;8;-1;-1; -1;-1
202400007933;203 969 922;155 767 845;A01;2;2;4;1;1995.0;5;1;-1;-1;0;0;-1
202400007933;203 969 925;155 767 845;A01;1;1;2;1;1978.0;5;1;-1;-1;0;0;-1
202400007950;203 969 884;155 767 816;A01;1;1;4;1;1978.0;0;2;0;-1;-1; -1;-1
202400007950;203 969 887;155 767 817;B01;1;1;1;1;2003.0;4;8;0;-1;-1; -1;-1
202400007951;203 969 882;155 767 814;A01;1;1;3;1;1986.0;5;0;-1;-1;0;0;-1
202400007979;203 969 812;155 767 766;A01;1;1;4;1;1973.0;4;1;-1;-1;-1; -1;-1
202400007979;203 969 814;155 767 768;B01;1;1;1;2;1992.0;1;1;-1;-1;-1; -1;-1
202400007983;203 969 804;155 767 760;A01;1;1;4;1;1969.0;5;2;6;9;0;0;-1
202400008021;203 969 704;155 767 691;A01;2;2;1;2;1944.0;5;1;0;-1;0;0;-1
202400008021;203 969 705;155 767 691;A01;2;2;4;2;1999.0;9;1;0;-1;0;0;-1
202400008021;203 969 707;155 767 691;A01;1;1;4;1;1952.0;5;1;0;-1;0;0;-1
202400008021;203 969 709;155 767 693;B01;2;2;1;2;1954.0;5;1;0;-1;0;0;-1
202400008021;203 969 711;155 767 693;B01;1;1;1;2;1957.0;5;1;0;-1;0;0;-1
202400008036;203 969 665;155 767 661;B01;2;2;3;2;2000.0;1;1;-1;-1;0;0;-1
202400008036;203 969 666;155 767 661;B01;1;1;3;1;1961.0;1;1;-1;-1;0;0;-1
202400008036;203 969 669;155 767 664;A01;2;2;3;1;2001.0;5;1;-1;-1;0;0;-1
